id,name,county,fuel,fuel_group,cliff_exposed,mw_capacity,mw_energy,mfo,status,submitted,service_start_date,test_energy_date,commercial_operation_milestone,revised_in_service_date,transmission_owner,csa_posted,gia_url,senator,senator_party,senate_district
AE1-129,Strinestown Solar Project,York,Solar,Solar,True,47.0,79.6,79.6,Suspended,2018-09-07,,2026-12-07,2027-01-07,2027-01-07,ME,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae1_129_isa.pdf,Kristin Phillips-Hill,R,28
AE2-263,MPG Solar,Centre,Solar,Solar,True,47.0,78.38,161.98,Engineering and Procurement,2019-03-29,,2028-06-07,2028-07-31,2028-07-31,APS,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_263_isa.pdf,Cris Dush,R,25
AB2-175,Peach Bottom Units #2 & #3,York,Nuclear,Nuclear,False,44.0,44.0,2709.8,Partially in Service - Under Construction,2016-04-29,,2019-03-26,2018-12-31,2018-12-31,PECO,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ab2_175_isa.pdf,Kristin Phillips-Hill,R,28
AE2-345,Granite Hill Solar,Adams,Solar,Solar,True,42.0,70.0,70.0,Suspended,2019-03-13,,2026-01-12,2026-02-01,2026-02-01,ME,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_345_isa.pdf,Doug Mastriano,R,33
AE2-316,Squab Solar,Jefferson,Solar,Solar,True,41.2,90.0,90.0,Under Construction,2019-03-30,,2026-05-10,2026-07-10,2026-07-10,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ae2_316_gia.pdf,Cris Dush,R,25
AG1-156,Mora Solar,Carbon,Solar,Solar,True,39.5,60.0,60.0,Engineering and Procurement,2020-09-10,,2027-10-30,2027-12-31,2027-12-31,PPL,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ag1_156_gia.pdf,David Argall,R,29
AF2-361,Walker Solar Two,Juniata,Solar,Solar,True,35.0,80.0,80.0,Engineering and Procurement,2020-03-31,,2026-05-26,2026-09-19,2026-09-19,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af2_361_isa.pdf,Cris Dush,R,25
AE2-299,Erie East Energy,Erie,Storage,Storage,False,32.0,160.0,160.0,Suspended,2019-03-22,,2026-03-30,2026-06-01,2026-06-01,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_299_isa.pdf,Dan Laughlin,R,49
AE2-285,MC Solar I,Mercer,Solar,Solar,True,30.0,50.0,50.0,Engineering and Procurement,2019-03-30,,2026-12-03,2027-01-29,2027-01-29,ATSI,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_285_isa.pdf,Michele Brooks,R,50
AG1-054,Green Meadows Solar,Lawrence,Solar,Solar,True,25.2,40.0,40.0,Engineering and Procurement,2020-07-21,,2027-04-20,2027-05-31,2027-05-31,ATSI,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/ag1_054_gia.pdf,Elder Vogel Jr.,R,47
AF2-234,Washington West Solar,Snyder,Solar; Storage,Solar+Storage,True,24.0,40.0,40.0,Engineering and Procurement,2020-03-26,,2026-10-30,2026-12-30,2026-12-30,PPL,False,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/af2_234_gia.pdf,Lynda Schlegel Culver,R,27
AE2-211,Dover Solar,York,Solar,Solar,True,23.1,55.0,55.0,Suspended,2019-03-20,,2026-09-14,2026-10-14,2026-10-14,ME,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_211_isa.pdf,Kristin Phillips-Hill,R,28
AF1-086,Rogue's Wind,Clearfield,Wind,Wind,True,20.54,109.9,109.9,Under Construction,2019-08-30,,2026-03-30,2026-09-01,2026-09-01,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af1_086_isa.pdf,Wayne Langerholc,R,35
AF1-302,Brookville-Squab Hollow 138 kV,Jefferson,Solar,Solar,True,18.0,42.0,132.0,Engineering and Procurement,2019-09-30,,2026-05-10,2026-12-31,2026-12-31,PENELEC,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/gia/af1_302_gia.pdf,Cris Dush,R,25
AF1-226,Cottontail Solar 7,Columbia,Solar,Solar,True,14.7,35.0,35.0,Suspended,2019-09-28,,2028-09-30,2028-11-30,2028-11-30,PPL,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/af1_226_isa.pdf,Gene Yaw,R,23
AE1-079,"Welcome Solar, LLC",Mercer,Solar,Solar,True,13.5,19.9,19.9,Under Construction,2018-08-11,,2026-12-14,2027-02-24,2027-02-24,ATSI,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae1_079_isa.pdf,Michele Brooks,R,50
AE1-237,Welcome Solar II,Crawford,Solar,Solar,True,13.5,19.9,19.9,Under Construction,2018-09-29,,2026-06-25,2026-08-29,2026-08-29,ATSI,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae1_237_isa.pdf,Michele Brooks,R,50
AE2-343,"Welcome Solar III, LLC",Crawford,Solar,Solar,True,12.3,17.9,17.9,Under Construction,2019-04-01,,2026-07-30,2024-06-05,2024-06-05,ATSI,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae2_343_isa.pdf,Michele Brooks,R,50
AE1-183,Jackson Center Solar Facility,Mercer,Solar,Solar,True,12.0,20.0,20.0,Engineering and Procurement,2018-09-26,,2026-06-29,2026-07-31,2026-07-31,ATSI,True,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ae1_183_isa.pdf,Michele Brooks,R,50
